"","Percentage correct","","","","","","Mean error","","","","","","RMSE","","","","",""
"","K = 1","","","K >= 2","","","K = 1","","","K >= 2","","","K = 1","","","K >= 2","",""
"","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C"
"PA-PCA-m","89.4","86.3","82.5","65.1","57.6","49.8","0.11","0.14","0.17","-0.07","-0.18","-0.31","0.37","0.44","0.5","0.96","1.23","1.49"
"PA-PCA-95","94.2","91.9","88.9","64.4","55.2","46.5","0.05","0.01","-0.03","-0.34","-0.7","-1.01","0.25","0.29","0.34","1.09","1.51","1.83"
"PA-PAF-m","67","59","50.8","41.9","26.9","17.8","0.44","0.71","1.02","1.46","4.1","6.07","0.83","1.44","1.91","2.64","8.49","11.6"
"PA-PAF-95","78.6","76.9","72.4","50.4","39.4","29.5","0.24","0.19","0.31","0.65","1.18","2.01","0.58","0.65","1.26","1.83","5.2","7.74"
"PA-MRFA-ev-m","85.8","79.9","70.8","47.2","47.3","43","0.08","0.19","0.37","-0.72","-0.39","-0.18","0.46","0.72","1.06","1.56","1.65","1.99"
"PA-MRFA-ev-95","77.1","76.2","73.5","41","42.3","40.2","-0.22","-0.2","-0.19","-1.1","-1.07","-1.12","0.48","0.5","0.54","1.69","1.76","1.92"
"PA-MRFA-m","92.5","87.7","82.8","54.7","50.3","45.1","0.02","0.03","0.04","-0.38","-0.47","-0.59","0.29","0.38","0.46","1.06","1.27","1.5"
"PA-MRFA-95","75.6","73","68.7","39.7","36.2","31.6","-0.24","-0.26","-0.3","-0.96","-1.17","-1.4","0.49","0.52","0.56","1.44","1.76","2.02"
"RPA-PCA-m","59.7","60.9","64.5","25.9","27.8","29.2","0.69","0.63","0.52","4.7","2.51","1.11","1.18","1.11","1","8.57","5.86","3.92"
"RPA-PCA-95","79.3","81.9","83.6","48.5","47.4","43.2","0.24","0.13","0.03","0.62","-0.3","-0.93","0.59","0.49","0.44","1.97","1.73","1.93"
"RPA-PAF-m","56.1","57.9","63.9","25.7","29.7","31.5","0.67","0.64","0.5","2.37","1.67","0.57","1.1","1.1","0.98","3.7","4.47","3.23"
"RPA-PAF-95","72.9","77.2","80.6","45.1","43.5","38.4","0.35","0.18","0.04","0.84","-0.3","-1.04","0.75","0.6","0.49","2.21","1.83","2.02"
"CD","75.5","83.5","89","52.3","45.1","36.7","0.37","0.23","0.14","-0.11","-1.06","-1.53","0.81","0.61","0.46","1.56","2.1","2.45"
