"","Percentage correct","","","","","","Mean error","","","","","","RMSE","","","","",""
"","K = 1","","","K >= 2","","","K = 1","","","K >= 2","","","K = 1","","","K >= 2","",""
"","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C","Cont.","4-C","2-C"
"PA-PCA-m","89.4","86.3","82.5","65.1","57.6","49.8","0.11","0.14","0.17","-0.07","-0.18","-0.31","0.37","0.44","0.5","0.96","1.23","1.49"
"PA-PCA-95","94.2","91.9","88.9","64.4","55.2","46.5","0.05","0.01","-0.03","-0.34","-0.7","-1.01","0.25","0.29","0.34","1.09","1.51","1.83"
"PA-PAF-95","78.6","76.9","72.4","50.4","39.4","29.5","0.24","0.19","0.31","0.65","1.18","2.01","0.58","0.65","1.26","1.83","5.2","7.74"
"PA-MRFA-m","92.5","87.7","82.8","54.7","50.3","45.1","0.02","0.03","0.04","-0.38","-0.47","-0.59","0.29","0.38","0.46","1.06","1.27","1.5"
"RPA-PCA-95","79.3","81.9","83.6","48.5","47.4","43.2","0.24","0.13","0.03","0.62","-0.3","-0.93","0.59","0.49","0.44","1.97","1.73","1.93"
"RPA-PAF-95","72.9","77.2","80.6","45.1","43.5","38.4","0.35","0.18","0.04","0.84","-0.3","-1.04","0.75","0.6","0.49","2.21","1.83","2.02"
"CD","75.5","83.5","89","52.3","45.1","36.7","0.37","0.23","0.14","-0.11","-1.06","-1.53","0.81","0.61","0.46","1.56","2.1","2.45"
