"term","Df","Sum Sq","Mean Sq","F value","Pr(>F)","etasq","size","PA-PCA-m","PA-PCA-95","PA-PAF-m","PA-PAF-95","PA-MRFA-eg-m","PA-MRFA-eg-95","PA-MRFA-m","PA-MRFA-95","RPA-PCA-m","RPA-PCA-95","RPA-PAF-m","RPA-PAF-95","CD"
"n_obs",4,19.085294,4.771323,144.575257,0,0.047093,"SMALL",0.08913,0.143329,NA,0.008381,NA,NA,0.023583,NA,NA,0.011907,NA,0.006259,0.086397
"n_factor",2,77.14252,38.57126,1168.742795,0,0.190351,"LARGE",0.191566,0.240914,NA,0.090002,NA,NA,0.271911,NA,NA,0.087138,NA,0.052738,0.100942
"r_factor",1,42.569261,42.569261,1289.885718,0,0.105041,"MEDIUM",0.137388,0.197895,NA,0.015047,NA,NA,0.37138,NA,NA,0.012654,NA,0.009703,0.04102
"w_error",1,106.59424,106.59424,3229.898364,0,0.263024,"LARGE",0.041318,0.006822,NA,0.519879,NA,NA,0.000424,NA,NA,0.51261,NA,0.553035,0.182098
"d_skew",2,0.050991,0.025496,0.77254,0.463211,0.000126,"",0.000173,0.000138,NA,4.2e-05,NA,NA,0.001168,NA,NA,4e-06,NA,0.000408,0.008673
"w_lambda",1,63.051926,63.051926,1910.528289,0,0.155582,"LARGE",0.238587,0.191323,NA,0.1058,NA,NA,0.117006,NA,NA,0.046495,NA,0.0169,0.155409
"n_obs:n_factor",8,7.067014,0.883377,26.767084,0,0.017438,"SMALL",0.007204,0.013773,NA,0.00648,NA,NA,0.003031,NA,NA,0.01355,NA,0.01431,0.05163
"n_obs:r_factor",4,0.905597,0.226399,6.860096,3.4e-05,0.002235,"",0.002503,0.003618,NA,0.010589,NA,NA,0.005051,NA,NA,0.005758,NA,0.00356,0.000467
"n_obs:w_error",4,34.28857,8.572142,259.743386,0,0.084608,"MEDIUM",0.01527,0.007515,NA,0.152937,NA,NA,0.000211,NA,NA,0.145832,NA,0.148574,0.079
"n_obs:d_skew",8,0.054561,0.00682,0.206657,0.989491,0.000135,"",0.000478,0.000506,NA,9e-05,NA,NA,0.000493,NA,NA,0.000179,NA,0.00031,0.003572
"n_obs:w_lambda",4,3.42485,0.856213,25.943987,0,0.008451,"",0.001698,0.000439,NA,0.009879,NA,NA,0.000944,NA,NA,0.040237,NA,0.046715,0.008951
"n_factor:r_factor",2,10.341669,5.170834,156.680785,0,0.025518,"SMALL",0.067167,0.060993,NA,0.003414,NA,NA,0.036273,NA,NA,0.002326,NA,0.002602,0.012033
"n_factor:w_error",2,5.783699,2.89185,87.625561,0,0.014271,"SMALL",0.019663,0.011927,NA,0.004023,NA,NA,0.001295,NA,NA,0.005509,NA,0.006712,0.044894
"n_factor:d_skew",4,0.076529,0.019132,0.579727,0.677666,0.000189,"",0.000128,0.00017,NA,6.6e-05,NA,NA,0.000517,NA,NA,0.000151,NA,0.000242,0.00311
"n_factor:w_lambda",2,1.639253,0.819626,24.835395,0,0.004045,"",0.003237,0.001965,NA,0.005966,NA,NA,0.012907,NA,NA,0.004727,NA,0.012177,0.030958
"r_factor:w_error",1,6.537019,6.537019,198.077381,0,0.01613,"SMALL",0.03114,0.019396,NA,0.009816,NA,NA,0.000746,NA,NA,0.011606,NA,0.009052,0.008969
"r_factor:d_skew",2,0.217597,0.108798,3.296684,0.039027,0.000537,"",0.000222,0.000488,NA,3.9e-05,NA,NA,0.001246,NA,NA,0.000275,NA,0.000184,0.004014
"r_factor:w_lambda",1,1.323179,1.323179,40.093483,0,0.003265,"",0.016359,0.007478,NA,3.4e-05,NA,NA,0.112661,NA,NA,0.003411,NA,0.003513,0.002041
