"Procedure","E","S","R","L","K","N","E*N","R*L","R*K"
"","Continuous","","","","","","","",""
"PA-PCA-m","0.04","","0.13","0.25","0.19","0.08","0.02","0.01","0.06"
"PA-PCA-95","","","0.18","0.19","0.23","0.15","","0.01","0.05"
"PA-PAF-95","0.51","","0.02","0.11","0.09","","0.16","",""
"PA-MRFA-m","","","0.33","0.1","0.27","0.03","","0.15","0.03"
"RPA-PCA-95","0.51","","0.01","0.05","0.09","","0.16","",""
"RPA-PAF-95","0.56","","0.01","0.02","0.06","","0.16","",""
"CD","0.17","0.01","0.03","0.15","0.09","0.09","0.07","","0.01"
"Average","0.26","","0.1","0.12","0.15","0.05","0.08","0.03","0.02"
"","Four-Category","","","","","","","",""
"PA-PCA-m","0.01","0.02","0.12","0.26","0.2","0.14","","0.03","0.05"
"PA-PCA-95","","0.02","0.17","0.16","0.25","0.22","","0.02","0.03"
"PA-PAF-95","0.28","0.05","0.01","0.1","0.21","0.06","0.13","",""
"PA-MRFA-m","","","0.3","0.1","0.26","0.08","","0.13","0.03"
"RPA-PCA-95","0.14","","0.04","0.14","0.16","0.13","0.08","",""
"RPA-PAF-95","0.15","","0.03","0.1","0.14","0.1","0.1","",""
"CD","0.02","0.07","0.09","0.19","0.25","0.16","0.01","",""
"Average","0.09","0.03","0.11","0.15","0.21","0.13","0.05","0.03","0.02"
"","Binary","","","","","","","",""
"PA-PCA-m","","0.03","0.1","0.25","0.23","0.17","","0.05","0.04"
"PA-PCA-95","","0.03","0.16","0.16","0.25","0.24","","0.02","0.02"
"PA-PAF-95","0.11","0.07","0.02","0.07","0.31","0.11","0.07","",""
"PA-MRFA-m","","0.02","0.23","0.12","0.28","0.12","","0.11","0.02"
"RPA-PCA-95","0.02","0.04","0.05","0.22","0.21","0.23","0.02","",""
"RPA-PAF-95","0.02","0.05","0.04","0.2","0.18","0.2","0.02","",""
"CD","","0.06","0.1","0.21","0.34","0.15","","",""
"Average","0.02","0.04","0.1","0.18","0.26","0.17","0.02","0.03","0.01"
