"","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"","No","Yes","0","1","2","Weak","Strong","High","Low","2","4","6","100","300","500","700","900"
"","Percent correct","","","","","","","","","","","","","","","",""
"PA-PCA-m","61.5","53.8","61.9","59.7","51.4","68.8","46.5","74.7","40.5","77.4","57.3","38.2","35.3","55.1","62.6","66.5","68.7"
"PA-PCA-95","54.6","55.9","60.7","57.4","47.6","69.9","40.6","69.2","41.3","79.1","53","33.7","24.1","52.2","62.3","67.3","70.3"
"PA-PAF-95","58","20.7","45.4","43.5","29.2","42.8","35.9","49.8","29","59.4","35.7","23","25","43","42","42.7","44.1"
"PA-MRFA-m","49.8","50.9","53","52","46","67.2","33.4","60.7","40","72.4","46.1","32.6","33.1","50.1","54.7","56.7","57.2"
"RPA-PCA-95","61.4","33.4","48.7","48.8","44.7","53.8","41","59.9","34.9","64.5","45.7","32","25.5","50.9","54","53.7","52.9"
"RPA-PAF-95","58.4","28.6","44.2","45.5","40.8","49.8","37.2","54.2","32.8","59.7","41.2","29.6","24","47.1","48.1","49.1","49.3"
"CD","49.3","40.8","54.2","47.9","33.1","55.6","34.5","60.3","29.8","68.1","41.6","25.5","20.8","42.6","49.9","55.1","56.9"
"","Mean error","","","","","","","","","","","","","","","",""
"PA-PCA-m","-0.45","0.1","-0.09","-0.17","-0.27","0.18","-0.53","-0.33","-0.03","0.15","-0.09","-0.6","-0.75","-0.2","-0.04","0.03","0.07"
"PA-PCA-95","-0.9","-0.51","-0.5","-0.6","-1.01","-0.34","-1.07","-0.51","-0.9","-0.12","-0.64","-1.36","-1.95","-0.74","-0.42","-0.26","-0.15"
"PA-PAF-95","0.17","2.18","0.58","0.51","2.45","1.32","1.04","1.74","0.61","0.37","1.26","1.9","-1.64","1.15","2.75","1.97","1.67"
"PA-MRFA-m","-0.6","-0.35","-0.4","-0.43","-0.59","-0.03","-0.92","-0.59","-0.36","-0.05","-0.42","-0.95","-0.97","-0.45","-0.35","-0.29","-0.3"
"RPA-PCA-95","-0.77","0.16","0.14","-0.13","-0.92","-0.12","-0.49","0.16","-0.77","0.13","-0.25","-0.79","-1.93","-0.55","0","0.36","0.61"
"RPA-PAF-95","-0.83","0.23","0.23","-0.07","-1.05","-0.12","-0.48","0.22","-0.82","0.21","-0.24","-0.86","-1.98","-0.62","-0.05","0.42","0.75"
"CD","-1.26","-0.86","-0.56","-1.05","-1.57","-0.65","-1.47","-0.54","-1.58","0.06","-0.94","-2.3","-2.18","-1.27","-0.89","-0.59","-0.38"
"","Root mean squared error","","","","","","","","","","","","","","","",""
"PA-PCA-m","1.21","1.24","1.04","1.15","1.45","1.04","1.39","0.84","1.52","0.63","1.08","1.72","1.89","1.21","0.98","0.89","0.85"
"PA-PCA-95","1.61","1.41","1.24","1.37","1.86","1.22","1.76","1.1","1.84","0.55","1.32","2.2","2.62","1.42","1.07","0.89","0.81"
"PA-PAF-95","4.19","6.04","2.3","2.34","8.38","5.05","5.34","6.28","3.82","1.26","4.59","7.64","3.18","4.9","7.75","5.22","3.69"
"PA-MRFA-m","1.33","1.22","1.13","1.19","1.48","0.95","1.53","1.08","1.44","0.63","1.12","1.79","1.92","1.24","1.06","0.95","0.93"
"RPA-PCA-95","1.57","1.87","1.64","1.57","1.95","1.6","1.85","1.36","2.03","0.83","1.56","2.41","2.68","1.47","1.24","1.33","1.51"
"RPA-PAF-95","1.62","2.01","1.79","1.66","2.01","1.7","1.94","1.54","2.08","0.97","1.69","2.49","2.71","1.55","1.4","1.47","1.69"
"CD","2.13","2.08","1.62","2.08","2.5","1.63","2.49","1.6","2.5","0.74","1.67","3.15","2.83","2.18","1.92","1.73","1.62"
