"","Overall","Population error","","Nonsymmetry","","","Factor correlation","","Factor loading","","Number of factors","","","Sample size","","","",""
"","","No","Yes","0","1","2","Weak","Strong","High","Low","2","4","6","100","300","500","700","900"
"","","Percent correct","","","","","","","","","","","","","","","",""
"PA-PCA-m","49.8","52","47.5","55.6","51.8","41.9","59.7","39.8","66.9","32.6","70.4","48.3","30.5","25.9","46.1","54.7","59.4","62.7"
"PA-PCA-95","46.5","45.7","47.3","53","48.7","37.8","61.2","31.8","61.1","31.9","71.1","42.5","25.9","15.5","40.5","52.8","59.6","64.1"
"PA-PAF-m","17.8","26","9.6","23.5","16.7","13.3","19.5","16.1","23","12.7","29.4","15.2","8.9","18.9","17.9","16.6","16.7","19"
"PA-PAF-95","29.5","39.8","19.2","37.4","30.6","20.4","33.5","25.5","37.6","21.4","50.2","24.4","13.9","14","31.6","33.8","33.6","34.4"
"PA-MRFA-ev-m","43","43.7","42.3","48","46.6","34.5","52.2","33.9","61.2","24.8","57.5","42","29.5","24.4","41.3","46.8","49.9","52.6"
"PA-MRFA-ev-95","40.2","38.5","41.9","42.7","42.3","35.6","55.8","24.6","58.8","21.6","58.4","37.6","24.6","15.6","38.9","47.3","48.6","50.6"
"PA-MRFA-m","45.1","45","45.3","49.3","46.8","39.3","59.8","30.4","56.8","33.4","67.1","41.6","26.7","25.3","42.8","49.9","52.5","55.1"
"PA-MRFA-95","31.6","30.8","32.4","35.7","33.4","25.8","48.7","14.6","43.4","19.9","49.4","28.2","17.3","12.9","29.3","36.2","38.4","41.3"
"RPA-PCA-m","29.2","39.6","18.9","28","28.8","30.9","31.5","27","34.6","23.8","40.9","28.2","18.5","20.1","31.7","32.4","31.3","30.6"
"RPA-PCA-95","43.2","48.3","38","48","46.2","35.3","50.6","35.8","59.4","27","63.6","39.5","26.3","14.9","39.5","50.6","54.7","56.1"
"RPA-PAF-m","31.5","41.3","21.6","30.1","31.1","33.2","34.5","28.4","37.7","25.2","42.8","30.5","21","20.8","32.1","36","34.6","33.8"
"RPA-PAF-95","38.4","43.6","33.3","44.1","42.3","28.9","45.1","31.7","52.9","24","56.5","35.1","23.7","13.3","35.4","44.4","49.6","49.3"
"CD","36.7","38.1","35.4","45.1","40.1","25","47.5","26","52.8","20.7","63.3","30.7","16.2","13.7","32.8","40.6","45.9","50.6"
"","","Mean error","","","","","","","","","","","","","","","",""
"PA-PCA-m","-0.31","-0.54","-0.07","-0.21","-0.27","-0.43","0.11","-0.72","-0.43","-0.18","0.15","-0.21","-0.86","-1.23","-0.28","-0.08","0.01","0.05"
"PA-PCA-95","-1.01","-1.17","-0.85","-0.75","-0.91","-1.37","-0.61","-1.41","-0.71","-1.31","-0.23","-0.94","-1.86","-2.39","-1.15","-0.69","-0.48","-0.34"
"PA-PAF-m","6.07","4.69","7.45","4.08","6.58","7.56","6.16","5.98","6.83","5.32","2.64","5.88","9.7","-0.31","6.96","7.67","8.54","7.51"
"PA-PAF-95","2.01","1.06","2.96","1.23","1.99","2.82","2.18","1.85","3.46","0.56","0.66","2.07","3.31","-2.29","1.62","2.74","3.58","4.42"
"PA-MRFA-ev-m","-0.18","-0.47","0.12","-0.33","-0.23","0.04","0.4","-0.76","-0.28","-0.07","0.36","-0.12","-0.77","-1.11","0.03","0.17","0.11","-0.08"
"PA-MRFA-ev-95","-1.12","-1.3","-0.95","-1.02","-1.06","-1.29","-0.67","-1.58","-0.68","-1.56","-0.4","-1.05","-1.92","-2.39","-1.12","-0.75","-0.68","-0.68"
"PA-MRFA-m","-0.59","-0.72","-0.47","-0.47","-0.55","-0.76","-0.13","-1.06","-0.67","-0.52","-0.04","-0.51","-1.22","-1.3","-0.56","-0.42","-0.37","-0.32"
"PA-MRFA-95","-1.4","-1.48","-1.33","-1.18","-1.32","-1.72","-0.96","-1.85","-1.04","-1.77","-0.6","-1.33","-2.28","-2.45","-1.46","-1.14","-1.03","-0.94"
"RPA-PCA-m","1.11","0.23","1.98","1.93","1.3","0.09","1.36","0.86","1.55","0.67","0.97","1.15","1.21","0.4","0.75","1.13","1.5","1.76"
"RPA-PCA-95","-0.93","-1.17","-0.7","-0.48","-0.8","-1.52","-0.7","-1.16","-0.34","-1.52","-0.14","-0.86","-1.8","-2.48","-1.22","-0.64","-0.29","-0.04"
"RPA-PAF-m","0.57","-0.05","1.2","1.25","0.74","-0.27","0.81","0.34","1.19","-0.04","0.76","0.59","0.37","0.31","0.26","0.47","0.8","1.03"
"RPA-PAF-95","-1.04","-1.29","-0.79","-0.49","-0.9","-1.73","-0.82","-1.25","-0.41","-1.67","-0.18","-0.96","-1.97","-2.51","-1.37","-0.78","-0.4","-0.14"
